Authors;Title;Year;Volume;Issue;Start Page;End Page;Abstract;DOI;Author Keywords;Publication Title;Link;Database;Title_lower
"Kwatra; Shikhar and Kaushik; Bunny";Desconocido;2024;;;Desconocido;Desconocido;Become proficient in Amazon Bedrock by taking a hands-on approach to building and scaling generative AI solutions that are robust, secure, and compliant with ethical standardsKey FeaturesLearn the foundations of Amazon Bedrock from experienced AWS Machine Learning Specialist ArchitectsMaster the core techniques to develop and deploy several AI applications at scaleGo beyond writing good prompting techniques and secure scalable frameworks by using advanced tips and tricksPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionThe concept of generative artificial intelligence has garnered widespread interest, with industries looking to leverage it to innovate and solve business problems. Amazon Bedrock, along with LangChain, simplifies the building and scaling of generative AI applications without needing to manage the infrastructure. Generative AI with Amazon Bedrock takes a practical approach to enabling you to accelerate the development and integration of several generative AI use cases in a seamless manner. You’ll explore techniques such as prompt engineering, retrieval augmentation, fine-tuning generative models, and orchestrating tasks using agents. The chapters take you through real-world scenarios and use cases such as text generation and summarization, image and code generation, and the creation of virtual assistants. The latter part of the book shows you how to effectively monitor and ensure security and privacy in Amazon Bedrock. By the end of this book, you’ll have gained a solid understanding of building and scaling generative AI apps using Amazon Bedrock, along with various architecture patterns and security best practices that will help you solve business problems and drive innovation in your organization.What you will learnExplore the generative AI landscape and foundation models in Amazon BedrockFine-tune generative models to improve their performanceExplore several architecture patterns for different business use casesGain insights into ethical AI practices, model governance, and risk mitigation strategiesEnhance your skills in employing agents to develop intelligence and orchestrate tasksMonitor and understand metrics and Amazon Bedrock model responseExplore various industrial use cases and architectures to solve real-world business problems using RAGStay on top of architectural best practices and industry standardsWho this book is forThis book is for generalist application engineers, solution engineers and architects, technical managers, ML advocates, data engineers, and data scientists looking to either innovate within their organization or solve business use cases using generative AI. A basic understanding of AWS APIs and core AWS services for machine learning is expected.;;;Generative AI with Amazon Bedrock: Build, scale, and secure generative AI applications using Amazon Bedrock;https://ieeexplore-ieee-org.crai.referencistas.com/document/10769228;IEEE;desconocido
"Singh; Paul and Karuparti; Anurag and Maeda; John";Desconocido;2024;;;Desconocido;Desconocido;Explore Generative AI, the engine behind ChatGPT, and delve into topics like LLM-infused frameworks, autonomous agents, and responsible innovation, to gain valuable insights into the future of AIKey FeaturesGain foundational GenAI knowledge and understand how to scale GenAI/ChatGPT in the cloudUnderstand advanced techniques for customizing LLMs for organizations via fine-tuning, prompt engineering, and responsible AIPeek into the future to explore emerging trends like multimodal AI and autonomous agentsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionGenerative artificial intelligence technologies and services, including ChatGPT, are transforming our work, life, and communication landscapes. To thrive in this new era, harnessing the full potential of these technologies is crucial. Generative AI for Cloud Solutions is a comprehensive guide to understanding and using Generative AI within cloud platforms. This book covers the basics of cloud computing and Generative AI/ChatGPT, addressing scaling strategies and security concerns. With its help, you’ll be able to apply responsible AI practices and other methods such as fine-tuning, RAG, autonomous agents, LLMOps, and Assistants APIs. As you progress, you’ll learn how to design and implement secure and scalable ChatGPT solutions on the cloud, while also gaining insights into the foundations of building conversational AI, such as chatbots. This process will help you customize your AI applications to suit your specific requirements. By the end of this book, you’ll have gained a solid understanding of the capabilities of Generative AI and cloud computing, empowering you to develop efficient and ethical AI solutions for a variety of applications and services.What you will learnGet started with the essentials of generative AI, LLMs, and ChatGPT, and understand how they function togetherUnderstand how we started applying NLP to concepts like transformersGrasp the process of fine-tuning and developing apps based on RAGExplore effective prompt engineering strategiesAcquire insights into the app development frameworks and lifecycles of LLMs, including important aspects of LLMOps, autonomous agents, and Assistants APIsDiscover how to scale and secure GenAI systems, while understanding the principles of responsible AIWho this book is forThis artificial intelligence book is for aspiring cloud architects, data analysts, cloud developers, data scientists, AI researchers, technical business leaders, and technology evangelists looking to understanding the interplay between GenAI and cloud computing. Some chapters provide a broad overview of GenAI, which are suitable for readers with basic to no prior AI experience, aspiring to harness AI's potential. Other chapters delve into technical concepts that require intermediate data and AI skills. A basic understanding of a cloud ecosystem is required to get the most out of this book.;;;Generative AI for Cloud Solutions: Architect modern AI LLMs in secure, scalable, and ethical cloud environments;https://ieeexplore-ieee-org.crai.referencistas.com/document/10522548;IEEE;desconocido
"Dell; Dr. Scott and Akpan; Dr. Mfon";Desconocido;2024;;;Desconocido;Desconocido;Elevate your accounting skills by applying ChatGPT across audit, tax, consulting, and beyondKey FeaturesLeverage the impact of AI on modern accounting, from audits to corporate governanceUse ChatGPT to streamline your accounting tasks with practical hands-on techniquesUnderstand the impact of AI in accounting through in-depth chapters covering various domains, including ethical considerations and data analyticsPurchase of the print or Kindle book includes a free PDF eBookBook DescriptionIn the fast-paced AI world, accounting professionals are increasingly challenged by the complexities of AI. Many struggle to integrate these advanced tools into their workflows, leading to a sense of overwhelm. ChatGPT for Accounting bridges this gap by not only simplifying AI concepts but also offering practical insights for its application in various accounting domains. This book takes you from the foundational principles of Generative Artificial Intelligence (GAI) to its practical applications in audits, tax planning, practice management, fraud examination, financial analysis, and beyond. Each chapter equips you with essential skills, showing you how AI can revolutionize internal control systems, enhance recruitment processes, streamline marketing plans, optimize tax strategies, and boost efficiency in audits. You’ll then advance to exploring the role of AI in forensic accounting, financial analysis, managerial accounting, and corporate governance, while also addressing ethical and security implications. Concluding with a reflective outlook on the promises and challenges of AI, you’ll gain a holistic view of the future of accounting. By the end of this book, you’ll be equipped with the knowledge to harness the power of AI effectively and ethically, transforming your accounting practice and staying ahead in the ever-evolving landscape.What you will learnUnderstand the fundamentals of AI and its impact on the accounting sectorGrasp how AI streamlines and enhances the auditing process for high accuracyUncover the potential of AI in simplifying tax processes and ensuring complianceGet to grips with using AI to identify discrepancies and prevent financial fraudMaster the art of AI-powered data analytics for informed decision-makingGain insights into seamlessly integrating AI tools within existing accounting systemsStay ahead in the evolving landscape of AI-led accounting tools and practicesWho this book is forWhether you're a seasoned accounting professional, a C-suite executive, a business owner, an accounting educator, a student of accounting, or a technology enthusiast, this book provides the knowledge and insights you need to navigate the changing landscape in applying GAI technology to make a difference in all you do. An appreciation and understanding of the accounting process and concepts will be beneficial.;;;ChatGPT and AI for Accountants: A practitioner's guide to harnessing the power of GenAI to revolutionize your accounting practice;https://ieeexplore-ieee-org.crai.referencistas.com/document/10769388;IEEE;desconocido
Xi Zhang and Jun Yup Kim and Yuan Pu and Andrew J. Loza and Alexander Tong and Dennis Shung;1299: GENERATIVE ARTIFICIAL INTELLIGENCE FOR DYNAMIC RISK ASSESSMENT TO PREDICT TRAJECTORIES IN PATIENTS WITH ACUTE GASTROINTESTINAL BLEEDING IN THE INTENSIVE CARE UNIT;2025;169;1, Supplement ;S;318;Desconocido;https://doi.org/10.1016/S0016-5085(25)01677-4;Desconocido;Gastroenterology;https://www.sciencedirect.com/science/article/pii/S0016508525016774;ScienceDirect;1299: generative artificial intelligence for dynamic risk assessment to predict trajectories in patients with acute gastrointestinal bleeding in the intensive care unit
Ying Li and Augustine Annan and Majid R. Mojarad and Jingcheng Du and Yingxin Xu;MSR33 Automated Extraction of Kaplan-Meier Survival Curves Using Generative Artificial Intelligence and Computer Vision;2025;28;6, Supplement 1;S280;Desconocido;Desconocido;https://doi.org/10.1016/j.jval.2025.04.1185;Desconocido;Value in Health;https://www.sciencedirect.com/science/article/pii/S1098301525013105;ScienceDirect;msr33 automated extraction of kaplan-meier survival curves using generative artificial intelligence and computer vision
Federico Pallottino and Simona Violino and Simone Figorilli and Catello Pane and Jacopo Aguzzi and Giacomo Colle and Eugenio {Nerio Nemmi} and Alessandro Montaghi and Damianos Chatzievangelou and Francesca Antonucci and Lavinia Moscovini and Alessandro Mei and Corrado Costa and Luciano Ortenzi;Applications and perspectives of Generative Artificial Intelligence in agriculture;2025;230;Desconocido;109919;Desconocido;Artificial Intelligence (AI) applications related to agriculture have recently gained in use and attention. They are indeed valuable tools for interpreting data, improving production chains, and optimizing the use of natural resources. Among AI models, the most recent and promising area is represented by Generative Artificial Intelligence (GAI). After an initial description of its general model architectures, this work aims to review its practical uses and potentials in the following individual sectors: agriculture, precision farming, and animal farming, as well as interdisciplinary applications. The literature search was carried out using the SCOPUS, Google Scholar, and Web of Science databases. GAI holds immense potential for revolutionizing agriculture, offering solutions ranging from precision farming to pest management and supply chain optimization. Though some applications can extend beyond efficiency gains, and hallucinations occurrence i.e. false output information presented as fact, remains an open issue, GAI can be decisive for tasks like improving training datasets, refining models, and facilitating time series analysis. This review extensively describes the vital importance of these tasks for agriculture, precision and animal farming, caused by the rise of new technologies. As a result, by embracing and responsibly implementing GAI applications, it is possible to create a more sustainable and resilient future for agriculture and precision farming. GAI have the capacity to extract specific information from big data systems, offering huge potential to meet a growing global population demand and consequent environmental challenges for the future.;https://doi.org/10.1016/j.compag.2025.109919;"GAI; GAN; NLP; LLMs; ChatGPT; Microsoft Copilot";Computers and Electronics in Agriculture;https://www.sciencedirect.com/science/article/pii/S0168169925000250;ScienceDirect;applications and perspectives of generative artificial intelligence in agriculture
Ali Derakhshan;EFL students’ perceptions about the role of generative artificial intelligence (GAI)-mediated instruction in their emotional engagement and goal orientation: A motivational climate theory (MCT) perspective in focus;2025;90;Desconocido;102114;Desconocido;Research on the contributions of generative artificial intelligence (GAI) technologies to second language (L2) education has soared in the past couple of years. However, there is limited evidence pertaining to the impact of AI-mediated instruction on postgraduate students’ psycho-affective factors and the overall learning climate in English as a foreign language (EFL) context. To address this gap, the present study drew on motivational climate theory (MCT) to explore postgraduate EFL students’ perceptions of the role of GAI technologies in their emotional engagement and goal orientation. To do so, an interview was conducted with 30 postgraduate students using maximum variation sampling. The results of the inductive thematic analysis revealed that AI-mediated instruction had affected both the emotional engagement and goal orientation of the students. In particular, it was found that GAI tools fostered emotional engagement by ‘enlightening teacher-student classroom relationships’, ‘making the overall classroom culture/climate engaging, motivating, and updated’, ‘improving teachers’ action, instruction, and feedback quality’, ‘providing a personalized, interactive, and autonomy supporting education’, and ‘taping into learner-specific idiosyncrasies and individual differences’. Furthermore, GAI tools affected the students’ goal orientation by ‘facilitating the mastery of course content’, ‘setting personalized and achievable goals’, ‘fostering students’ performance comparison in the classroom’, and ‘providing a reflective and adaptive learning environment’. The findings are discussed and implications are provided for EFL teachers, students, teacher educators, and policymakers concerning the interplay of GAI, emotions, goal orientation, and motivational climate.;https://doi.org/10.1016/j.lmot.2025.102114;"Achievement goal theory; Emotional engagement; Generative artificial intelligence (GAI); Goal orientation; L2 education; Motivational climate theory (MCT); Self-determination theory (SDT)";Learning and Motivation;https://www.sciencedirect.com/science/article/pii/S0023969025000219;ScienceDirect;efl students’ perceptions about the role of generative artificial intelligence (gai)-mediated instruction in their emotional engagement and goal orientation: a motivational climate theory (mct) perspective in focus
O. Peña Ruiz and J. Sifuentes-Cervantes and J. Castellanos and F. Bermudez;71361968-2414 - Is Generative-Artificial Intelligence (AI) able to diagnose and classify facial trauma as an Oral Surgeon?;2025;54;Desconocido;42;Desconocido;Desconocido;https://doi.org/10.1016/j.ijom.2025.04.126;Desconocido;International Journal of Oral and Maxillofacial Surgery;https://www.sciencedirect.com/science/article/pii/S0901502725002401;ScienceDirect;71361968-2414 - is generative-artificial intelligence (ai) able to diagnose and classify facial trauma as an oral surgeon?
Xi Zhang and Jun Yup Kim and Yuan Pu and Andrew J. Loza and Alexander Tong and Dennis Shung;1299: GENERATIVE ARTIFICIAL INTELLIGENCE FOR DYNAMIC RISK ASSESSMENT TO PREDICT TRAJECTORIES IN PATIENTS WITH ACUTE GASTROINTESTINAL BLEEDING IN THE INTENSIVE CARE UNIT;2025;169;1, Supplement ;S;318;Desconocido;https://doi.org/10.1016/S0016-5085(25)01677-4;Desconocido;Gastroenterology;https://www.sciencedirect.com/science/article/pii/S0016508525016774;ScienceDirect;1299: generative artificial intelligence for dynamic risk assessment to predict trajectories in patients with acute gastrointestinal bleeding in the intensive care unit
Ying Li and Augustine Annan and Majid R. Mojarad and Jingcheng Du and Yingxin Xu;MSR33 Automated Extraction of Kaplan-Meier Survival Curves Using Generative Artificial Intelligence and Computer Vision;2025;28;6, Supplement 1;S280;Desconocido;Desconocido;https://doi.org/10.1016/j.jval.2025.04.1185;Desconocido;Value in Health;https://www.sciencedirect.com/science/article/pii/S1098301525013105;ScienceDirect;msr33 automated extraction of kaplan-meier survival curves using generative artificial intelligence and computer vision
